x,y,color
218,1,0
218,4,0
218,5,0
219,8,0
219,9,0
220,11,0
220,14,0
222,17,0
222,19,0
222,23,0
223,28,0
223,32,0
223,36,0
225,41,0
226,43,0
226,48,0
227,50,0
227,52,0
229,54,0
229,55,0
229,56,0
230,57,0
231,59,0
232,60,0
232,61,0
235,63,0
236,66,0
237,69,0
238,70,0
240,73,0
241,74,0
243,74,0
244,75,0
246,76,0
248,77,0
251,79,0
253,79,0
256,79,0
259,80,0
261,80,0
264,81,0
266,81,0
269,81,0
272,81,0
273,81,0
275,83,0
276,83,0
278,83,0
279,83,0
281,83,0
282,83,0
283,83,0
284,83,0
286,83,0
286,84,0
287,84,0
288,84,0
289,85,0
290,85,0
217,6,0
214,6,0
213,6,0
211,6,0
206,6,0
204,7,0
199,8,0
195,10,0
192,11,0
189,12,0
188,13,0
186,15,0
185,16,0
183,18,0
182,20,0
181,21,0
180,22,0
179,24,0
179,25,0
179,27,0
177,28,0
177,30,0
177,31,0
177,32,0
177,34,0
177,35,0
178,37,0
179,38,0
181,38,0
184,40,0
187,40,0
189,40,0
192,40,0
196,40,0
200,40,0
205,40,0
207,40,0
210,40,0
212,40,0
213,40,0
212,40,0
211,40,0
211,42,0
211,43,0
210,46,0
207,49,0
204,51,0
201,54,0
200,59,0
197,60,0
197,63,0
196,64,0
196,65,0
196,66,0
196,68,0
196,71,0
196,72,0
197,73,0
198,73,0
199,73,0
202,73,0
206,73,0
210,73,0
219,73,0
223,71,0
227,70,0
230,68,0
233,67,0
236,66,0
240,64,0
244,63,0
247,60,0
246,62,0
245,62,0
245,65,0
242,68,0
240,72,0
239,73,0
238,77,0
236,82,0
236,84,0
235,89,0
235,90,0
234,92,0
234,96,0
234,98,0
234,99,0
234,100,0
234,101,0
234,102,0
236,102,0
237,102,0
239,102,0
244,102,0
245,101,0
248,99,0
249,98,0
254,95,0
257,94,0
260,93,0
261,92,0
263,89,0
266,88,0
266,89,0
266,91,0
266,99,0
266,104,0
266,108,0
266,110,0
266,115,0
266,119,0
266,123,0
266,126,0
266,128,0
266,130,0
266,131,0
272,130,0
275,129,0
277,128,0
279,125,0
280,124,0
281,121,0
282,118,0
284,116,0
285,113,0
287,110,0
290,106,0
290,105,0
291,104,0
29,230,2
30,224,2
33,219,2
34,213,2
36,209,2
37,204,2
39,202,2
42,195,2
43,191,2
46,186,2
48,184,2
49,182,2
49,181,2
50,181,2
51,181,2
52,184,2
54,188,2
55,194,2
57,201,2
59,209,2
60,212,2
62,218,2
62,222,2
62,225,2
62,228,2
63,229,2
63,230,2
63,231,2
69,226,2
72,222,2
75,217,2
80,211,2
83,206,2
86,200,2
89,193,2
90,190,2
92,189,2
93,189,2
94,189,2
94,190,2
94,196,2
94,202,2
95,204,2
95,209,2
95,213,2
95,216,2
95,220,2
95,221,2
95,222,2
95,221,2
98,214,2
102,208,2
105,201,2
108,197,2
109,194,2
111,188,2
112,185,2
113,185,2
114,185,2
116,187,2
117,189,2
117,195,2
119,200,2
119,208,2
120,212,2
120,216,2
120,221,2
121,223,2
121,226,2
121,228,2
123,231,2
123,234,2
124,235,2
124,236,2
46,48,3
51,47,3
53,47,3
58,47,3
62,47,3
72,45,3
78,45,3
86,45,3
92,45,3
98,43,3
103,43,3
107,42,3
108,42,3
109,42,3
110,42,3
112,42,3
114,42,3
117,42,3
121,42,3
127,44,3
141,48,3
147,48,3
150,48,3
152,48,3
152,49,3
149,50,3
143,52,3
137,53,3
126,55,3
117,57,3
111,58,3
107,60,3
104,60,3
103,61,3
102,61,3
101,61,3
99,61,3
98,61,3
96,62,3
90,64,3
85,65,3
83,67,3
74,70,3
70,72,3
64,73,3
59,75,3
55,76,3
50,77,3
48,77,3
47,77,3
46,77,3
48,77,3
53,77,3
61,77,3
65,77,3
71,77,3
77,77,3
85,79,3
96,79,3
104,79,3
113,79,3
119,81,3
127,81,3
131,82,3
134,82,3
134,83,3
128,83,3
120,85,3
114,85,3
106,85,3
104,86,3
96,86,3
87,88,3
84,88,3
78,88,3
74,88,3
73,88,3
70,89,3
78,91,3
91,91,3
100,93,3
108,93,3
116,93,3
122,93,3
132,93,3
139,94,3
145,94,3
149,96,3
150,96,3
150,97,3
143,97,3
127,98,3
113,100,3
99,100,3
86,100,3
80,100,3
68,100,3
57,100,3
49,100,3
44,100,3
43,100,3
46,102,3
52,102,3
77,103,3
88,103,3
99,105,3
107,105,3
116,107,3
122,107,3
128,109,3
131,109,3
132,110,3
29,256,2
36,248,2
41,241,2
44,239,2
47,234,2
50,230,2
53,227,2
54,226,2
55,226,2
56,226,2
58,230,2
59,236,2
61,240,2
62,246,2
64,249,2
65,253,2
66,258,2
68,262,2
68,263,2
69,264,2
72,264,2
76,262,2
79,260,2
83,257,2
88,252,2
91,249,2
92,248,2
93,247,2
94,246,2
95,246,2
97,247,2
97,253,2
98,258,2
99,260,2
99,265,2
99,267,2
99,268,2
101,269,2
101,271,2
103,270,2
106,266,2
109,263,2
110,260,2
113,259,2
114,256,2
116,253,2
118,252,2
120,251,2
121,251,2
123,251,2
123,252,2
125,256,2
126,261,2
127,263,2
129,268,2
130,271,2
132,273,2
132,274,2
135,274,2
143,274,2
199,284,2
199,279,2
199,276,2
200,273,2
200,269,2
204,261,2
205,256,2
207,253,2
208,251,2
209,246,2
210,245,2
210,243,2
212,243,2
213,243,2
214,243,2
214,245,2
214,251,2
215,257,2
215,262,2
215,268,2
217,278,2
217,282,2
219,288,2
219,294,2
220,297,2
221,300,2
221,301,2
224,299,2
229,293,2
232,286,2
235,282,2
240,275,2
243,269,2
246,266,2
247,265,2
249,263,2
249,262,2
250,262,2
251,262,2
252,265,2
254,269,2
254,274,2
255,278,2
255,282,2
256,285,2
256,288,2
258,290,2
259,293,2
259,294,2
259,293,2
264,288,2
267,282,2
267,279,2
270,273,2
271,271,2
273,269,2
274,268,2
275,268,2
276,268,2
277,269,2
278,273,2
278,277,2
280,283,2
281,285,2
281,286,2
281,288,2
281,289,2
282,286,2
284,282,2
285,281,2
285,278,2
286,277,2
286,276,2
286,275,2
