x,y,color
214,49,3
213,49,3
212,49,3
211,49,3
210,49,3
209,49,3
208,49,3
207,49,3
206,49,3
205,49,3
204,49,3
203,49,3
201,49,3
200,49,3
199,49,3
198,49,3
197,49,3
196,49,3
195,49,3
194,49,3
193,49,3
192,49,3
191,49,3
190,49,3
189,49,3
188,49,3
187,49,3
186,49,3
185,49,3
183,49,3
182,49,3
181,49,3
180,49,3
179,49,3
178,49,3
177,49,3
176,49,3
174,49,3
173,49,3
172,49,3
171,49,3
170,49,3
169,49,3
168,49,3
167,49,3
166,49,3
164,49,3
163,49,3
161,49,3
160,49,3
159,49,3
158,49,3
157,49,3
155,49,3
154,49,3
153,49,3
152,49,3
151,49,3
150,49,3
149,49,3
147,49,3
146,49,3
145,49,3
144,49,3
143,49,3
142,49,3
141,49,3
139,49,3
138,49,3
137,49,3
136,49,3
135,49,3
134,49,3
132,49,3
131,49,3
129,49,3
128,49,3
127,49,3
126,49,3
125,49,3
124,49,3
123,49,3
122,49,3
121,49,3
120,49,3
119,49,3
118,49,3
117,49,3
116,49,3
115,49,3
114,49,3
113,49,3
112,49,3
111,49,3
110,49,3
109,49,3
108,49,3
107,49,3
106,49,3
105,49,3
104,49,3
103,49,3
101,49,3
100,49,3
99,49,3
98,49,3
97,49,3
96,49,3
95,49,3
94,49,3
93,49,3
92,49,3
91,49,3
90,49,3
89,49,3
88,49,3
88,48,3
87,48,3
86,48,3
85,48,3
84,48,3
83,48,3
82,48,3
81,48,3
81,47,3
80,47,3
79,47,3
78,47,3
77,47,3
76,47,3
75,47,3
74,47,3
73,47,3
72,47,3
71,47,3
70,47,3
69,47,3
68,47,3
67,47,3
66,47,3
65,47,3
64,47,3
63,47,3
62,47,3
61,47,3
61,48,3
61,49,3
60,49,3
60,50,3
60,51,3
60,52,3
59,53,3
59,54,3
59,55,3
59,56,3
58,57,3
58,58,3
58,59,3
58,60,3
58,61,3
58,62,3
58,63,3
58,64,3
58,65,3
57,66,3
57,68,3
57,69,3
57,70,3
56,70,3
56,71,3
56,72,3
56,73,3
56,74,3
56,75,3
56,76,3
56,77,3
56,78,3
55,78,3
55,79,3
55,80,3
55,81,3
54,81,3
54,82,3
54,83,3
54,84,3
53,84,3
53,85,3
53,86,3
53,87,3
53,89,3
53,90,3
52,90,3
52,91,3
52,92,3
52,93,3
51,93,3
51,94,3
51,95,3
51,96,3
51,97,3
51,98,3
50,98,3
50,99,3
50,100,3
49,101,3
49,102,3
49,103,3
49,104,3
49,105,3
49,106,3
48,107,3
48,108,3
48,109,3
48,110,3
47,110,3
47,111,3
47,112,3
47,113,3
46,113,3
46,115,3
46,116,3
46,117,3
46,118,3
46,119,3
46,120,3
45,120,3
45,121,3
45,122,3
45,123,3
45,124,3
44,124,3
44,125,3
44,126,3
44,127,3
44,128,3
44,129,3
44,130,3
44,131,3
44,132,3
44,133,3
43,133,3
43,134,3
43,135,3
43,136,3
43,137,3
43,138,3
43,139,3
43,140,3
43,141,3
43,142,3
42,142,3
42,143,3
42,144,3
42,145,3
42,146,3
42,147,3
42,148,3
42,149,3
42,150,3
42,151,3
42,152,3
42,153,3
42,154,3
42,155,3
42,156,3
42,157,3
42,158,3
42,159,3
42,160,3
42,161,3
42,162,3
42,163,3
42,164,3
42,165,3
42,166,3
42,167,3
42,168,3
42,169,3
42,170,3
42,171,3
42,172,3
42,173,3
42,174,3
42,175,3
42,176,3
42,177,3
41,177,3
41,178,3
41,179,3
41,180,3
41,181,3
41,182,3
41,183,3
41,184,3
41,185,3
41,186,3
41,187,3
41,188,3
41,189,3
41,190,3
41,191,3
41,192,3
41,193,3
41,194,3
40,194,3
40,195,3
40,196,3
40,197,3
40,198,3
39,199,3
39,200,3
39,201,3
39,202,3
39,203,3
39,204,3
39,205,3
39,206,3
39,207,3
38,207,3
38,208,3
38,209,3
38,210,3
38,211,3
38,212,3
38,213,3
38,214,3
38,215,3
37,216,3
37,217,3
37,218,3
37,219,3
37,220,3
37,221,3
37,222,3
37,223,3
36,224,3
36,225,3
36,226,3
36,227,3
36,228,3
36,229,3
36,230,3
36,231,3
36,232,3
36,233,3
36,234,3
35,234,3
35,235,3
35,236,3
34,237,3
34,238,3
34,239,3
34,240,3
34,241,3
34,242,3
34,243,3
34,244,3
34,245,3
34,246,3
34,247,3
34,248,3
34,249,3
35,249,3
35,248,3
36,248,3
36,247,3
37,247,3
37,246,3
38,245,3
38,244,3
39,243,3
39,242,3
40,242,3
40,241,3
40,240,3
41,240,3
42,239,3
42,238,3
43,237,3
43,236,3
44,236,3
44,235,3
45,235,3
45,234,3
46,233,3
46,232,3
47,232,3
48,232,3
48,231,3
48,230,3
49,230,3
50,229,3
50,228,3
51,227,3
52,226,3
52,225,3
53,225,3
54,224,3
55,223,3
