x,y,color
49,59,0
48,58,0
47,57,0
46,57,0
44,55,0
43,54,0
42,53,0
39,51,0
39,50,0
38,49,0
37,49,0
37,48,0
34,48,0
33,47,0
31,46,0
30,46,0
29,44,0
27,44,0
26,44,0
26,43,0
25,43,0
25,42,0
24,41,0
24,40,0
24,39,0
23,39,0
23,38,0
23,36,0
26,36,0
29,35,0
30,35,0
31,35,0
32,34,0
33,34,0
33,33,0
34,33,0
37,33,0
38,33,0
39,33,0
42,33,0
44,33,0
46,33,0
48,33,0
49,33,0
50,33,0
51,33,0
52,33,0
53,33,0
53,34,0
54,35,0
54,37,0
55,37,0
55,38,0
55,39,0
55,40,0
55,42,0
55,45,0
55,46,0
55,47,0
55,48,0
54,48,0
54,49,0
53,50,0
52,50,0
51,50,0
50,50,0
49,50,0
48,50,0
47,50,0
44,48,0
43,48,0
43,46,0
42,45,0
41,44,0
41,43,0
40,43,0
40,42,0
108,26,3
107,26,3
106,26,3
105,26,3
103,26,3
102,26,3
100,27,3
99,27,3
97,27,3
95,27,3
95,28,3
94,28,3
94,29,3
93,29,3
92,31,3
90,34,3
89,36,3
87,37,3
87,38,3
87,39,3
87,40,3
87,41,3
87,43,3
88,44,3
89,46,3
90,46,3
90,47,3
91,48,3
91,49,3
92,50,3
93,50,3
93,51,3
94,51,3
96,52,3
97,52,3
98,52,3
99,53,3
100,53,3
101,53,3
103,53,3
104,53,3
105,53,3
106,53,3
107,53,3
107,52,3
107,51,3
107,49,3
107,47,3
107,45,3
107,44,3
107,43,3
106,43,3
106,41,3
105,41,3
105,40,3
105,39,3
104,39,3
102,39,3
101,39,3
100,39,3
99,39,3
169,39,1
168,37,1
168,36,1
168,35,1
167,34,1
167,33,1
167,32,1
166,32,1
166,31,1
165,31,1
164,30,1
162,30,1
161,30,1
160,30,1
159,30,1
158,30,1
157,30,1
156,30,1
156,31,1
156,32,1
156,34,1
155,36,1
155,37,1
154,41,1
152,44,1
151,47,1
149,51,1
147,54,1
144,56,1
143,57,1
143,58,1
143,59,1
143,60,1
142,60,1
142,61,1
142,62,1
142,63,1
142,64,1
143,64,1
145,64,1
145,65,1
147,65,1
149,67,1
150,67,1
152,68,1
153,68,1
154,68,1
155,68,1
156,68,1
157,68,1
158,68,1
158,66,1
159,66,1
161,66,1
161,65,1
161,64,1
161,63,1
161,62,1
161,61,1
161,59,1
161,58,1
161,57,1
161,56,1
161,55,1
161,54,1
161,53,1
161,52,1
162,52,1
162,50,1
163,50,1
163,49,1
163,48,1
164,48,1
164,47,1
165,47,1
165,46,1
165,45,1
166,45,1
167,44,1
172,44,1
181,43,1
189,43,1
196,44,1
203,45,1
209,47,1
216,51,1
219,53,1
223,55,1
225,58,1
227,59,1
227,60,1
228,61,1
229,62,1
229,63,1
229,65,1
228,65,1
228,66,1
226,67,1
225,67,1
223,67,1
222,67,1
221,67,1
218,67,1
213,67,1
210,67,1
205,67,1
201,67,1
197,67,1
192,67,1
190,67,1
189,67,1
186,67,1
186,66,1
185,66,1
185,65,1
184,65,1
184,64,1
183,63,1
183,62,1
183,61,1
183,60,1
183,59,1
183,58,1
184,58,1
185,58,1
187,58,1
188,58,1
189,58,1
190,58,1
192,58,1
195,59,1
196,60,1
198,61,1
199,61,1
200,62,1
200,63,1
201,63,1
202,63,1
202,65,1
200,65,1
198,64,1
197,63,1
193,63,1
190,62,1
187,61,1
182,59,1
179,59,1
178,58,1
177,58,1
176,57,1
175,57,1
174,57,1
174,56,1
174,55,1
176,53,1
179,51,1
183,48,1
187,46,1
191,43,1
194,41,1
200,37,1
204,35,1
210,34,1
212,32,1
214,31,1
217,31,1
218,30,1
219,30,1
220,30,1
221,30,1
222,30,1
223,30,1
224,30,1
225,30,1
226,31,1
226,32,1
228,32,1
230,33,1
232,34,1
232,35,1
234,36,1
235,37,1
235,38,1
236,38,1
237,38,1
238,39,1
238,40,1
239,41,1
240,41,1
240,42,1
240,43,1
241,43,1
241,44,1
241,45,1
241,46,1
236,47,1
235,47,1
232,47,1
228,47,1
226,47,1
223,47,1
220,47,1
219,47,1
217,47,1
216,47,1
215,47,1
214,47,1
212,46,1
210,46,1
209,46,1
206,46,1
203,45,1
202,45,1
201,45,1
200,45,1
199,45,1
199,44,1
202,44,1
209,40,1
212,39,1
217,37,1
220,35,1
223,34,1
224,32,1
227,31,1
229,31,1
230,31,1
231,31,1
232,31,1
234,31,1
237,31,1
239,31,1
241,31,1
245,31,1
247,33,1
250,33,1
252,34,1
254,35,1
256,36,1
257,37,1
258,37,1
259,38,1
262,40,1
264,43,1
265,44,1
266,46,1
267,48,1
267,49,1
267,50,1
