x,y,color
97,124,0
102,123,0
110,123,0
116,123,0
122,123,0
128,121,0
134,121,0
142,120,0
146,120,0
151,120,0
152,120,0
153,120,0
154,120,0
155,120,0
156,120,0
157,120,0
157,121,0
158,122,0
160,123,0
161,124,0
162,126,0
163,128,0
164,128,0
164,129,0
165,130,0
119,121,0
118,121,0
115,121,0
114,121,0
113,121,0
112,121,0
111,121,0
110,121,0
109,121,0
107,121,0
106,121,0
105,121,0
104,121,0
103,121,0
102,121,0
102,123,0
101,123,0
99,123,0
98,124,0
97,125,0
96,125,0
96,126,0
95,127,0
94,127,0
93,127,0
93,128,0
91,128,0
90,129,0
89,131,0
88,131,0
88,132,0
87,133,0
87,134,0
86,135,0
86,136,0
86,137,0
85,140,0
85,141,0
85,143,0
83,145,0
83,147,0
83,148,0
82,149,0
82,152,0
82,153,0
82,155,0
82,158,0
82,160,0
82,165,0
82,167,0
82,168,0
82,171,0
82,172,0
82,173,0
83,176,0
83,177,0
83,179,0
84,182,0
84,183,0
85,185,0
85,188,0
85,189,0
86,190,0
86,191,0
87,193,0
87,194,0
87,195,0
89,195,0
89,196,0
89,197,0
89,198,0
90,199,0
91,201,0
92,203,0
95,206,0
98,210,0
101,213,0
104,216,0
106,217,0
109,220,0
112,223,0
115,225,0
117,226,0
120,227,0
123,229,0
126,229,0
128,230,0
133,231,0
137,233,0
141,234,0
144,236,0
147,236,0
149,237,0
152,238,0
156,238,0
159,240,0
162,240,0
163,240,0
164,240,0
165,240,0
169,240,0
172,240,0
178,239,0
182,239,0
186,238,0
191,236,0
193,235,0
198,234,0
202,232,0
207,231,0
210,228,0
212,226,0
215,225,0
218,222,0
219,221,0
220,220,0
220,219,0
221,218,0
221,217,0
221,214,0
222,213,0
222,212,0
224,209,0
224,207,0
225,204,0
226,201,0
228,197,0
229,194,0
231,191,0
232,187,0
232,184,0
233,182,0
233,179,0
233,178,0
233,176,0
233,174,0
233,173,0
233,171,0
233,168,0
233,166,0
235,165,0
235,164,0
235,162,0
235,161,0
235,160,0
235,159,0
235,158,0
235,157,0
235,156,0
235,153,0
235,151,0
235,148,0
234,145,0
234,143,0
233,142,0
233,138,0
232,137,0
232,134,0
231,131,0
229,129,0
229,128,0
228,125,0
228,124,0
227,123,0
227,122,0
226,121,0
226,119,0
225,118,0
223,116,0
222,115,0
221,112,0
219,109,0
218,107,0
215,102,0
212,99,0
211,97,0
208,94,0
207,91,0
206,90,0
204,89,0
203,86,0
202,85,0
201,84,0
198,81,0
197,81,0
